央视频道,#genre#
东方卫视,https://tvpull.careryun.com/tv/dfws.m3u8?txSecret=71de5838132eedbd9994f36355d6a5f7&txTime=67f461f2
兵团卫视,https://tvpull.careryun.com/tv/cn_btws.m3u8?txSecret=dbe97d9ba0acfbc292348ac7ea940c51&txTime=67f461f2
北京卫视,https://tvpull.careryun.com/tv/cn_bjws.m3u8?txSecret=43b8d3d42d2c2023bdb4d3e51d6f7d9a&txTime=67f461f2
吉林卫视,https://tvpull.careryun.com/tv/jlws.m3u8?txSecret=c50aae0d0b7e546b50b9e36615191fc7&txTime=67f461f2
四川卫视,https://tvpull.careryun.com/tv/cn_ahws.m3u8?txSecret=f585f01da7b09544af46f6a8b7a9d638&txTime=67f461f2
天津卫视,https://tvpull.careryun.com/tv/cn_tjws.m3u8?txSecret=85c144c425f12e4efc416b3c7f88a9eb&txTime=67f461f2
安徽卫视,https://tvpull.careryun.com/tv/ahws.m3u8?txSecret=8486d2ee144c9de7ffc491b0da8f29bb&txTime=67f461f2
山东卫视,https://tvpull.careryun.com/tv/cn_sdws.m3u8?txSecret=e4a5e8fd2a84713f4686196617e336d9&txTime=67f461f2
广东卫视,https://tvpull.careryun.com/tv/gdws.m3u8?txSecret=6eedbc03741c005bf2688226b5311cc5&txTime=67f461f2
广西卫视,https://tvpull.careryun.com/tv/cn_gxws.m3u8?txSecret=420a17196b0c4557e3592c9da371c6d6&txTime=67f461f2
新疆卫视,https://tvpull.careryun.com/tv/cn_xjws.m3u8?txSecret=97b1b587e2fee4dfe1b0c59468e753a0&txTime=67f461f2
江苏卫视,https://tvpull.careryun.com/tv/jsws.m3u8?txSecret=687a769958a14ec44e5480943765b929&txTime=67f461f2
江西卫视,https://tvpull.careryun.com/tv/jxws.m3u8?txSecret=d9b4e47e798a55eb4e4392b687a9b86a&txTime=67f461f2
河北卫视,https://tvpull.careryun.com/tv/cn_hbws.m3u8?txSecret=4a5154c25e7fce208a96a40f28dc4752&txTime=67f461f2
河南卫视,https://tvpull.careryun.com/tv/cn_hnws.m3u8?txSecret=9969ec84b7f334e367487b3151103fee&txTime=67f461f2
浙江卫视,https://tvpull.careryun.com/tv/cn_zjws.m3u8?txSecret=a3ac1f875e2adc321966f9369ad1a91c&txTime=67f461f2
海南卫视,https://tvpull.careryun.com/tv/hainws.m3u8?txSecret=4a06fc07faf567df8d3cd1bc1b4ff7ee&txTime=67f461f2
深圳卫视,https://tvpull.careryun.com/tv/cn_szws.m3u8?txSecret=2ec5fac80bae40219fce4c538cd89219&txTime=67f461f2
湖北卫视,https://tvpull.careryun.com/tv/hbws.m3u8?txSecret=819ce54ce3e81504f9beb72bc9f58262&txTime=67f461f2
湖南卫视,https://tvpull.careryun.com/tv/cn_hunws.m3u8?txSecret=51f80228f5d25d313088ae6a0a1ca522&txTime=67f461f2
甘肃卫视,https://tvpull.careryun.com/tv/cn_gsws.m3u8?txSecret=b18ed6a6705861d7e4bdbafb3a8299b6&txTime=67f461f2
贵州卫视,https://tvpull.careryun.com/tv/cn_gzws.m3u8?txSecret=6b1b80cd8e777db56e238f4fd712f082&txTime=67f461f2
辽宁卫视,https://tvpull.careryun.com/tv/cn_lnws.m3u8?txSecret=a89d52457bf5720171da25cca9e5d0c9&txTime=67f461f2
重庆卫视,https://tvpull.careryun.com/tv/cn_cqws.m3u8?txSecret=86bcbea98ca10ae46383192f349cfe0a&txTime=67f461f2
陕西卫视,https://tvpull.careryun.com/tv/sxws.m3u8?txSecret=f1ea1f7ef8e12c693fe3f0f3fa2aafbf&txTime=67f461f2
青海卫视,https://tvpull.careryun.com/tv/qhws.m3u8?txSecret=333deb53a3c227f084d339db8098c409&txTime=67f461f2
黑龙江卫视,https://tvpull.careryun.com/tv/cn_hljws.m3u8?txSecret=0fd5598c774c8dbd524671ee0d3330d5&txTime=67f461f2
